<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220412;130000;130.5100000;130.5100000;130.5100000;130.5100000;8
MOEX.SBER:SMAL;60;20220412;140000;130.5100000;130.5100000;130.5100000;130.5100000;5
MOEX.SBER:SMAL;60;20220412;160000;135.9700000;135.9700000;134.4700000;134.4700000;4
MOEX.SBER:SMAL;60;20220412;170000;132.1000000;132.1000000;132.1000000;132.1000000;1
MOEX.SBER:SMAL;60;20220412;190000;137.8800000;137.8800000;137.8700000;137.8700000;2
MOEX.SBER:SMAL;60;20220413;120000;139.9400000;139.9400000;133.0200000;133.0200000;22
MOEX.SBER:SMAL;60;20220413;130000;133.0000000;139.8200000;133.0000000;139.8200000;4
MOEX.SBER:SMAL;60;20220413;160000;131.6200000;131.6200000;131.6200000;131.6200000;3
MOEX.SBER:SMAL;60;20220413;180000;135.7100000;135.7100000;135.7100000;135.7100000;1
MOEX.SBER:SMAL;60;20220414;110000;138.9700000;138.9700000;138.9700000;138.9700000;1
MOEX.SBER:SMAL;60;20220414;120000;131.5100000;131.5100000;131.5100000;131.5100000;3
MOEX.SBER:SMAL;60;20220414;130000;133.1100000;133.1100000;131.5100000;131.5100000;6
MOEX.SBER:SMAL;60;20220414;150000;132.0000000;132.0000000;131.5100000;131.5100000;4
MOEX.SBER:SMAL;60;20220414;160000;131.5100000;131.5100000;131.5100000;131.5100000;2
MOEX.SBER:SMAL;60;20220414;170000;131.0000000;131.0000000;130.5000000;130.5000000;2
MOEX.SBER:SMAL;60;20220414;190000;130.5000000;130.5000000;129.5100000;129.5100000;33
MOEX.SBER:SMAL;60;20220415;110000;125.5000000;138.9900000;125.5000000;138.9900000;2
MOEX.SBER:SMAL;60;20220415;120000;130.5400000;130.5400000;129.5000000;129.5000000;14
MOEX.SBER:SMAL;60;20220415;140000;129.0000000;129.0000000;128.1000000;129.0000000;15
MOEX.SBER:SMAL;60;20220415;150000;129.0000000;129.0000000;127.5100000;127.5100000;6
